entity_id,state,last_changed
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-17T21:50:08.978Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-17T21:50:09.958Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-17T21:50:25.624Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-17T22:23:26.813Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-17T22:31:43.777Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-17T23:41:24.948Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-17T23:42:15.579Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-18T18:01:06.116Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-18T18:01:12.590Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-18T18:28:49.883Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-18T18:28:59.522Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-18T20:32:43.241Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-18T20:32:57.146Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-18T20:33:27.715Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-18T20:33:39.158Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-18T22:08:51.346Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-18T22:09:48.869Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-18T22:10:00.534Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-18T22:10:11.484Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-18T22:26:02.582Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-18T22:26:50.701Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-18T23:27:43.681Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-18T23:29:22.427Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T17:09:03.535Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T17:09:09.936Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T18:14:02.779Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T18:15:52.035Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T18:17:00.427Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T18:18:11.351Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T18:18:11.572Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T18:18:13.321Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T18:53:48.012Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T18:54:32.253Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T19:31:20.840Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T19:31:35.963Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T19:32:01.808Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T19:38:45.377Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T20:45:00.143Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T20:51:04.495Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T20:51:04.496Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T20:51:06.447Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T21:34:38.817Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T21:36:03.040Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T21:38:01.381Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T21:45:00.405Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T22:08:37.023Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,off,2025-10-19T22:10:21.360Z
switch.shellyplus1pm_b0b21c1b64f8_switch_0,on,2025-10-19T22:15:02.278Z
